"","frag_ID","mz","exact_parent_neutral_mass","lipid_class","species","adduct","adduct_rank","FA_total_no_C","FA_total_no_DB","degree_oxidation","parent_elem_formula","parent_compound_name"
"1",1,728.60349567,727.59621921,"MG_Cer","MG-Cer","[M+H]+","1",NA,NA,0,"C42H81N1O8","MG-Cer"
"2",2,766.55937749,727.59621921,"MG_Cer","MG-Cer","[M+K]+","3",NA,NA,0,"C42H81N1O8","MG-Cer"
"3",3,750.58544063,727.59621921,"MG_Cer","MG-Cer","[M+Na]+","2",NA,NA,0,"C42H81N1O8","MG-Cer"
"4",4,524.37106648,523.36379002,"PC","PC-DAG-PAF","[M+H]+","1",NA,NA,0,"C26H54N1O7P1","PC-DAG-PAF"
"5",5,562.3269483,523.36379002,"PC","PC-DAG-PAF","[M+K]+","4",NA,NA,0,"C26H54N1O7P1","PC-DAG-PAF"
"6",6,546.35301144,523.36379002,"PC","PC-DAG-PAF","[M+Na]+","2",NA,NA,0,"C26H54N1O7P1","PC-DAG-PAF"
"7",7,541.39761561,523.36379002,"PC","PC-DAG-PAF","[M+NH4]+","3",NA,NA,0,"C26H54N1O7P1","PC-DAG-PAF"
"8",8,734.56943214,733.56215568,"PC","PC-DAG-C16","[M+H]+","1",NA,NA,0,"C40H80N1O8P1","PC-DAG-C16"
"9",9,772.52531396,733.56215568,"PC","PC-DAG-C16","[M+K]+","4",NA,NA,0,"C40H80N1O8P1","PC-DAG-C16"
"10",10,756.5513771,733.56215568,"PC","PC-DAG-C16","[M+Na]+","2",NA,NA,0,"C40H80N1O8P1","PC-DAG-C16"
"11",11,751.59598127,733.56215568,"PC","PC-DAG-C16","[M+NH4]+","3",NA,NA,0,"C40H80N1O8P1","PC-DAG-C16"
"12",12,764.51767198,719.5465056,"PDME","PDME-DAG","[M+2Na-H]+","4",NA,NA,0,"C39H78N1O8P1","PDME-DAG"
"13",13,720.55378206,719.5465056,"PDME","PDME-DAG","[M+H]+","1",NA,NA,0,"C39H78N1O8P1","PDME-DAG"
"14",14,758.50966388,719.5465056,"PDME","PDME-DAG","[M+K]+","3",NA,NA,0,"C39H78N1O8P1","PDME-DAG"
"15",15,742.53572702,719.5465056,"PDME","PDME-DAG","[M+Na]+","2",NA,NA,0,"C39H78N1O8P1","PDME-DAG"
"16",16,736.48637182,691.51520544,"PE","PE-DAG-C16","[M+2Na-H]+","4",NA,NA,0,"C37H74N1O8P1","PE-DAG-C16"
"17",17,692.5224819,691.51520544,"PE","PE-DAG-C16","[M+H]+","1",NA,NA,0,"C37H74N1O8P1","PE-DAG-C16"
"18",18,730.47836372,691.51520544,"PE","PE-DAG-C16","[M+K]+","3",NA,NA,0,"C37H74N1O8P1","PE-DAG-C16"
"19",19,714.50442686,691.51520544,"PE","PE-DAG-C16","[M+Na]+","2",NA,NA,0,"C37H74N1O8P1","PE-DAG-C16"
"20",20,750.57558016,691.51520544,"PE","PE-DAG-C16","[M+NH4+ACN]+","6",NA,NA,0,"C37H74N1O8P1","PE-DAG-C16"
"21",21,709.54903103,691.51520544,"PE","PE-DAG-C16","[M+NH4]+","5",NA,NA,0,"C37H74N1O8P1","PE-DAG-C16"
"22",22,723.51706217,722.50978571,"PG","PG-DAG","[M+H]+","3",NA,NA,0,"C38H75O10P1","PG-DAG"
"23",23,761.47294399,722.50978571,"PG","PG-DAG","[M+K]+","4",NA,NA,0,"C38H75O10P1","PG-DAG"
"24",24,745.49900713,722.50978571,"PG","PG-DAG","[M+Na]+","2",NA,NA,0,"C38H75O10P1","PG-DAG"
"25",25,740.5436113,722.50978571,"PG","PG-DAG","[M+NH4]+","1",NA,NA,0,"C38H75O10P1","PG-DAG"
"26",26,706.53813198,705.53085552,"PME","PME-DAG","[M+H]+","1",NA,NA,0,"C38H76N1O8P1","PME-DAG"
"27",27,744.4940138,705.53085552,"PME","PME-DAG","[M+K]+","3",NA,NA,0,"C38H76N1O8P1","PME-DAG"
"28",28,728.52007694,705.53085552,"PME","PME-DAG","[M+Na]+","2",NA,NA,0,"C38H76N1O8P1","PME-DAG"
"29",29,753.61337086,752.6060944,"PC","PC-DAG-d7","[M+H]+","1",NA,NA,0,"C41D7H73N1O8P1","PC-DAG-d7"
"30",30,791.56925268,752.6060944,"PC","PC-DAG-d7","[M+K]+","4",NA,NA,0,"C41D7H73N1O8P1","PC-DAG-d7"
"31",31,775.59531582,752.6060944,"PC","PC-DAG-d7","[M+Na]+","2",NA,NA,0,"C41D7H73N1O8P1","PC-DAG-d7"
"32",32,770.63991999,752.6060944,"PC","PC-DAG-d7","[M+NH4]+","3",NA,NA,0,"C41D7H73N1O8P1","PC-DAG-d7"
"33",33,755.53031054,710.55914416,"PE","PE-DAG-d7","[M+2Na-H]+","4",NA,NA,0,"C38D7H67N1O8P1","PE-DAG-d7"
