core_abbrv,core_class,core_mz,core_formula,DBE,chainC
1_uns_AR,archaeol,650.657146,C43H86N0O3P0S0,1,40
1_uns_diExt-AR,archaeol,790.813646,C53H106N0O3P0S0,1,50
1_uns_Ext-AR,archaeol,720.784947,C48H96N0O3P0S0,1,45
1_uns_short-AR,archaeol,582.594546,C38H78N0O3P0S0,1,35
2_uns_AR,archaeol,648.641496,C43H84N0O3P0S0,2,40
2_uns_diExt-AR,archaeol,788.797996,C53H104N0O3P0S0,2,50
2_uns_Ext-AR,archaeol,718.770394,C48H94N0O3P0S0,2,45
2_uns_short-AR,archaeol,580.578896,C38H76N0O3P0S0,2,35
3_uns_AR,archaeol,646.625846,C43H82N0O3P0S0,3,40
3_uns_diExt-AR,archaeol,786.782346,C53H102N0O3P0S0,3,50
3_uns_Ext-AR,archaeol,716.755841,C48H92N0O3P0S0,3,45
3_uns_short-AR,archaeol,578.563246,C38H74N0O3P0S0,3,35
4_uns_AR,archaeol,644.610196,C43H80N0O3P0S0,4,40
4_uns_diExt-AR,archaeol,784.766696,C53H100N0O3P0S0,4,50
4_uns_Ext-AR,archaeol,714.741288,C48H90N0O3P0S0,4,45
4_uns_short-AR,archaeol,576.547596,C38H72N0O3P0S0,4,35
5_uns_AR,archaeol,642.594546,C43H78N0O3P0S0,5,40
5_uns_diExt-AR,archaeol,782.751046,C53H98N0O3P0S0,5,50
5_uns_Ext-AR,archaeol,712.726735,C48H88N0O3P0S0,5,45
5_uns_short-AR,archaeol,574.531946,C38H70N0O3P0S0,5,35
6_uns_AR,archaeol,640.578896,C43H76N0O3P0S0,6,40
6_uns_diExt-AR,archaeol,780.735396,C53H96N0O3P0S0,6,50
6_uns_Ext-AR,archaeol,710.712182,C48H86N0O3P0S0,6,45
6_uns_short-AR,archaeol,572.516296,C38H68N0O3P0S0,6,35
7_uns_AR,archaeol,638.563246,C43H74N0O3P0S0,7,40
7_uns_diExt-AR,archaeol,778.719746,C53H94N0O3P0S0,7,50
7_uns_Ext-AR,archaeol,708.697629,C48H84N0O3P0S0,7,45
8_uns_AR,archaeol,636.547596,C43H72N0O3P0S0,8,40
8_uns_diExt-AR,archaeol,776.704096,C53H92N0O3P0S0,8,50
8_uns_Ext-AR,archaeol,706.683076,C48H82N0O3P0S0,8,45
AR,archaeol,652.67335,C43H88N0O3P0S0,0,40
diOH_1_uns_AR,archaeol,682.646976,C43H86N0O5P0S0,1,40
diOH_1_uns_diExt-AR,archaeol,822.803476,C53H106N0O5P0S0,1,50
diOH_1_uns_Ext-AR,archaeol,752.774776,C48H96N0O5P0S0,1,45
diOH_1_uns_short-AR,archaeol,614.584376,C38H78N0O5P0S0,1,35
diOH_2_uns_AR,archaeol,680.631326,C43H84N0O5P0S0,2,40
diOH_2_uns_diExt-AR,archaeol,820.787826,C53H104N0O5P0S0,2,50
diOH_2_uns_Ext-AR,archaeol,750.760226,C48H94N0O5P0S0,2,45
diOH_2_uns_short-AR,archaeol,612.568726,C38H76N0O5P0S0,2,35
diOH_3_uns_AR,archaeol,678.615676,C43H82N0O5P0S0,3,40
diOH_3_uns_diExt-AR,archaeol,818.772176,C53H102N0O5P0S0,3,50
diOH_3_uns_Ext-AR,archaeol,748.745666,C48H92N0O5P0S0,3,45
diOH_3_uns_short-AR,archaeol,610.553076,C38H74N0O5P0S0,3,35
diOH_4_uns_AR,archaeol,676.600026,C43H80N0O5P0S0,4,40
diOH_4_uns_diExt-AR,archaeol,816.756526,C53H100N0O5P0S0,4,50
diOH_4_uns_Ext-AR,archaeol,746.731116,C48H90N0O5P0S0,4,45
diOH_4_uns_short-AR,archaeol,608.537426,C38H72N0O5P0S0,4,35
diOH_5_uns_AR,archaeol,674.584376,C43H78N0O5P0S0,5,40
diOH_5_uns_diExt-AR,archaeol,814.740876,C53H98N0O5P0S0,5,50
diOH_5_uns_Ext-AR,archaeol,744.716566,C48H88N0O5P0S0,5,45
diOH_5_uns_short-AR,archaeol,606.521776,C38H70N0O5P0S0,5,35
diOH_6_uns_AR,archaeol,672.568726,C43H76N0O5P0S0,6,40
