hg_response,hg-label,standard,neg_adduct,response_standard,matrix_standard
PC,PC,NA,formate,PC-average,PC-DAG-d7
PC-Cer,PC,NA,formate,PC-average,PC-DAG-d7
DGCC,DGCC,NA,formate,DGTS-DAG,DGTS-DAG-d9
QG,4G,NA,formate,DGDG-DAG,PG-DAG-d7
TG,3G,NA,formate,DGDG-DAG,PG-DAG-d7
DG,2G,NA,formate,DGDG-DAG,PG-DAG-d7
DG-Cer,2G,NA,formate,DG-Cer,PE-DAG-d7
MG,1G,NA,formate,MGDG-DAG,PG-DAG-d7
MG-Cer,1G,NA,formate,MG-Cer,PE-DAG-d7
QG_P,1G-P,NA,formate,DGDG-DAG,PG-DAG-d7
TG_P,3G-P,NA,formate,DGDG-DAG,PG-DAG-d7
DG_P,2G-P,NA,formate,DGDG-DAG,PG-DAG-d7
MG_P,1G-P,NA,formate,MGDG-DAG,PG-DAG-d7
DGTSA,DGTSA,NA,formate,DGTS-DAG,DGTS-DAG-d9
PE,PE,NA,hydrogen,PE-average,PE-DAG-d7
PE-Cer,PE,NA,hydrogen,PE-average,PE-DAG-d7
PG,PG,NA,hydrogen,PG-average,PG-DAG-d7
PG-DAG,PG,NA,hydrogen,PG-DAG,PG-DAG-d7
PG-Cer,PG,NA,hydrogen,MG-Cer,PE-DAG-d7
PA,PA,NA,hydrogen,PG-DAG,PG-DAG-d7
PME,PME,NA,hydrogen,PME-DAG,PE-DAG-d7
SQ,SQ,NA,hydrogen,SQ-DAG,PG-DAG-d7
PDME,PDME,NA,hydrogen,PDME-DAG,PE-DAG-d7
PI,PI,NA,hydrogen,MGDG-DAG,PG-DAG-d7
PI-Cer,PI,NA,hydrogen,MGDG-DAG,PG-DAG-d7
GA,GA,NA,formate,MGDG-DAG,PG-DAG-d7
dG,dG,NA,formate,MGDG-DAG,PG-DAG-d7
dG_MG,dG-MG,NA,formate,DGDG-DAG,PG-DAG-d7
dDG,dDG,NA,formate,DGDG-DAG,PG-DAG-d7
dTG,dTG,NA,formate,DGDG-DAG,PG-DAG-d7
APT,APT,NA,hydrogen,PC-average,PG-DAG-d7
TMeAPT,3Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
DMeAPT,2Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
MeAPT,Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
QMeAPT,4Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
DPG,DPG,NA,hydrogen,PG-DAG,PG-DAG-d7
MG_DPG,1G-DPG,NA,hydrogen,DGDG-DAG,PG-DAG-d7
Ser_DPG,Ser-DPG,NA,hydrogen,PG-DAG,PG-DAG-d7
MePGP,MePGP,NA,hydrogen,PG-DAG,PG-DAG-d7
PGP,PGP,NA,hydrogen,PG-DAG,PG-DAG-d7
PGS,PGS,NA,hydrogen,PG-DAG,PG-DAG-d7
PS,PS,NA,hydrogen,PS-DAG,PG-DAG-d7
NAcG_P,NAcG-P,NA,hydrogen,MG-Cer,PE-DAG-d7
NAcG_G,NAcG-G,NA,hydrogen,DG-Cer,PE-DAG-d7
MG_NAcG_G,1G-NAcG-G,NA,hydrogen,DG-Cer,PE-DAG-d7
