mtc,id,diagnostic,type2,type1
78.96,PO3-,background,hg,frag
152.99,glycerol-phosphate,background,hg,frag
79.96,HPO3-,background,hg,frag
96.96,H2PO4,background,hg,frag
171.06,glycerol-phosphate,background,hg,frag
59.01275578,FA 2:0,FA 2:0,fatty_acid,frag
75.0076704,FA 2:0 +1O,FA 2:0 +1O,fatty_acid,frag
91.00258502,FA 2:0 +2O,FA 2:0 +2O,fatty_acid,frag
106.9974996,FA 2:0 +3O,FA 2:0 +3O,fatty_acid,frag
56.9971057,FA 2:1,FA 2:1,fatty_acid,frag
72.99202032,FA 2:1 +1O,FA 2:1 +1O,fatty_acid,frag
88.98693494,FA 2:1 +2O,FA 2:1 +2O,fatty_acid,frag
104.9818496,FA 2:1 +3O,FA 2:1 +3O,fatty_acid,frag
73.02840586,FA 3:0,FA 3:0,fatty_acid,frag
89.02332048,FA 3:0 +1O,FA 3:0 +1O,fatty_acid,frag
105.0182351,FA 3:0 +2O,FA 3:0 +2O,fatty_acid,frag
121.0131497,FA 3:0 +3O,FA 3:0 +3O,fatty_acid,frag
71.01275578,FA 3:1,FA 3:1,fatty_acid,frag
87.0076704,FA 3:1 +1O,FA 3:1 +1O,fatty_acid,frag
103.002585,FA 3:1 +2O,FA 3:1 +2O,fatty_acid,frag
118.9974996,FA 3:1 +3O,FA 3:1 +3O,fatty_acid,frag
87.04405594,FA 4:0,FA 4:0,fatty_acid,frag
103.0389706,FA 4:0 +1O,FA 4:0 +1O,fatty_acid,frag
119.0338852,FA 4:0 +2O,FA 4:0 +2O,fatty_acid,frag
135.0287998,FA 4:0 +3O,FA 4:0 +3O,fatty_acid,frag
85.02840586,FA 4:1,FA 4:1,fatty_acid,frag
101.0233205,FA 4:1 +1O,FA 4:1 +1O,fatty_acid,frag
117.0182351,FA 4:1 +2O,FA 4:1 +2O,fatty_acid,frag
133.0131497,FA 4:1 +3O,FA 4:1 +3O,fatty_acid,frag
101.059706,FA 5:0,FA 5:0,fatty_acid,frag
117.0546206,FA 5:0 +1O,FA 5:0 +1O,fatty_acid,frag
133.0495353,FA 5:0 +2O,FA 5:0 +2O,fatty_acid,frag
149.0444499,FA 5:0 +3O,FA 5:0 +3O,fatty_acid,frag
99.04405594,FA 5:1,FA 5:1,fatty_acid,frag
115.0389706,FA 5:1 +1O,FA 5:1 +1O,fatty_acid,frag
131.0338852,FA 5:1 +2O,FA 5:1 +2O,fatty_acid,frag
147.0287998,FA 5:1 +3O,FA 5:1 +3O,fatty_acid,frag
115.0753561,FA 6:0,FA 6:0,fatty_acid,frag
131.0702707,FA 6:0 +1O,FA 6:0 +1O,fatty_acid,frag
147.0651853,FA 6:0 +2O,FA 6:0 +2O,fatty_acid,frag
163.0601,FA 6:0 +3O,FA 6:0 +3O,fatty_acid,frag
113.059706,FA 6:1,FA 6:1,fatty_acid,frag
129.0546206,FA 6:1 +1O,FA 6:1 +1O,fatty_acid,frag
145.0495353,FA 6:1 +2O,FA 6:1 +2O,fatty_acid,frag
161.0444499,FA 6:1 +3O,FA 6:1 +3O,fatty_acid,frag
129.0910062,FA 7:0,FA 7:0,fatty_acid,frag
145.0859208,FA 7:0 +1O,FA 7:0 +1O,fatty_acid,frag
161.0808354,FA 7:0 +2O,FA 7:0 +2O,fatty_acid,frag
177.07575,FA 7:0 +3O,FA 7:0 +3O,fatty_acid,frag
127.0753561,FA 7:1,FA 7:1,fatty_acid,frag
143.0702707,FA 7:1 +1O,FA 7:1 +1O,fatty_acid,frag
159.0651853,FA 7:1 +2O,FA 7:1 +2O,fatty_acid,frag
175.0601,FA 7:1 +3O,FA 7:1 +3O,fatty_acid,frag
125.059706,FA 7:2,FA 7:2,fatty_acid,frag
141.0546206,FA 7:2 +1O,FA 7:2 +1O,fatty_acid,frag
157.0495353,FA 7:2 +2O,FA 7:2 +2O,fatty_acid,frag
173.0444499,FA 7:2 +3O,FA 7:2 +3O,fatty_acid,frag
143.1066563,FA 8:0,FA 8:0,fatty_acid,frag
159.1015709,FA 8:0 +1O,FA 8:0 +1O,fatty_acid,frag
175.0964855,FA 8:0 +2O,FA 8:0 +2O,fatty_acid,frag
191.0914001,FA 8:0 +3O,FA 8:0 +3O,fatty_acid,frag
141.0910062,FA 8:1,FA 8:1,fatty_acid,frag
157.0859208,FA 8:1 +1O,FA 8:1 +1O,fatty_acid,frag
173.0808354,FA 8:1 +2O,FA 8:1 +2O,fatty_acid,frag
189.07575,FA 8:1 +3O,FA 8:1 +3O,fatty_acid,frag
139.0753561,FA 8:2,FA 8:2,fatty_acid,frag
155.0702707,FA 8:2 +1O,FA 8:2 +1O,fatty_acid,frag
171.0651853,FA 8:2 +2O,FA 8:2 +2O,fatty_acid,frag
187.0601,FA 8:2 +3O,FA 8:2 +3O,fatty_acid,frag
157.1223063,FA 9:0,FA 9:0,fatty_acid,frag
173.117221,FA 9:0 +1O,FA 9:0 +1O,fatty_acid,frag
189.1121356,FA 9:0 +2O,FA 9:0 +2O,fatty_acid,frag
205.1070502,FA 9:0 +3O,FA 9:0 +3O,fatty_acid,frag
155.1066563,FA 9:1,FA 9:1,fatty_acid,frag
171.1015709,FA 9:1 +1O,FA 9:1 +1O,fatty_acid,frag
187.0964855,FA 9:1 +2O,FA 9:1 +2O,fatty_acid,frag
203.0914001,FA 9:1 +3O,FA 9:1 +3O,fatty_acid,frag
153.0910062,FA 9:2,FA 9:2,fatty_acid,frag
169.0859208,FA 9:2 +1O,FA 9:2 +1O,fatty_acid,frag
185.0808354,FA 9:2 +2O,FA 9:2 +2O,fatty_acid,frag
201.07575,FA 9:2 +3O,FA 9:2 +3O,fatty_acid,frag
167.1066563,FA 10:2,FA 10:2,fatty_acid,frag
183.1015709,FA 10:2 +1O,FA 10:2 +1O,fatty_acid,frag
199.0964855,FA 10:2 +2O,FA 10:2 +2O,fatty_acid,frag
215.0914001,FA 10:2 +3O,FA 10:2 +3O,fatty_acid,frag
185.1536065,FA 11:0,FA 11:0,fatty_acid,frag
201.1485211,FA 11:0 +1O,FA 11:0 +1O,fatty_acid,frag
217.1434357,FA 11:0 +2O,FA 11:0 +2O,fatty_acid,frag
233.1383504,FA 11:0 +3O,FA 11:0 +3O,fatty_acid,frag
183.1379564,FA 11:1,FA 11:1,fatty_acid,frag
199.132871,FA 11:1 +1O,FA 11:1 +1O,fatty_acid,frag
215.1277857,FA 11:1 +2O,FA 11:1 +2O,fatty_acid,frag
231.1227003,FA 11:1 +3O,FA 11:1 +3O,fatty_acid,frag
181.1223063,FA 11:2,FA 11:2,fatty_acid,frag
197.117221,FA 11:2 +1O,FA 11:2 +1O,fatty_acid,frag
213.1121356,FA 11:2 +2O,FA 11:2 +2O,fatty_acid,frag
229.1070502,FA 11:2 +3O,FA 11:2 +3O,fatty_acid,frag
199.1692566,FA 12:0,FA 12:0,fatty_acid,frag
215.1641712,FA 12:0 +1O,FA 12:0 +1O,fatty_acid,frag
231.1590858,FA 12:0 +2O,FA 12:0 +2O,fatty_acid,frag
247.1540004,FA 12:0 +3O,FA 12:0 +3O,fatty_acid,frag
197.1536065,FA 12:1,FA 12:1,fatty_acid,frag
213.1485211,FA 12:1 +1O,FA 12:1 +1O,fatty_acid,frag
229.1434357,FA 12:1 +2O,FA 12:1 +2O,fatty_acid,frag
245.1383504,FA 12:1 +3O,FA 12:1 +3O,fatty_acid,frag
195.1379564,FA 12:2,FA 12:2,fatty_acid,frag
211.132871,FA 12:2 +1O,FA 12:2 +1O,fatty_acid,frag
227.1277857,FA 12:2 +2O,FA 12:2 +2O,fatty_acid,frag
243.1227003,FA 12:2 +3O,FA 12:2 +3O,fatty_acid,frag
193.1223063,FA 12:3,FA 12:3,fatty_acid,frag
209.117221,FA 12:3 +1O,FA 12:3 +1O,fatty_acid,frag
225.1121356,FA 12:3 +2O,FA 12:3 +2O,fatty_acid,frag
241.1070502,FA 12:3 +3O,FA 12:3 +3O,fatty_acid,frag
213.1849067,FA 13:0,FA 13:0,fatty_acid,frag
229.1798213,FA 13:0 +1O,FA 13:0 +1O,fatty_acid,frag
245.1747359,FA 13:0 +2O,FA 13:0 +2O,fatty_acid,frag
261.1696505,FA 13:0 +3O,FA 13:0 +3O,fatty_acid,frag
211.1692566,FA 13:1,FA 13:1,fatty_acid,frag
227.1641712,FA 13:1 +1O,FA 13:1 +1O,fatty_acid,frag
243.1590858,FA 13:1 +2O,FA 13:1 +2O,fatty_acid,frag
259.1540004,FA 13:1 +3O,FA 13:1 +3O,fatty_acid,frag
209.1536065,FA 13:2,FA 13:2,fatty_acid,frag
