mtc,id,diagnostic,type2,type1
43.01784116,FA 2:0,FA 2:0,fatty_acid_RCO,frag
59.01275578,FA 2:0 +1O,FA 2:0 +1O,fatty_acid_RCO,frag
75.0076704,FA 2:0 +2O,FA 2:0 +2O,fatty_acid_RCO,frag
91.00258498,FA 2:0 +3O,FA 2:0 +3O,fatty_acid_RCO,frag
41.00219108,FA 2:1,FA 2:1,fatty_acid_RCO,frag
56.9971057,FA 2:1 +1O,FA 2:1 +1O,fatty_acid_RCO,frag
72.99202032,FA 2:1 +2O,FA 2:1 +2O,fatty_acid_RCO,frag
88.98693498,FA 2:1 +3O,FA 2:1 +3O,fatty_acid_RCO,frag
57.03349124,FA 3:0,FA 3:0,fatty_acid_RCO,frag
73.02840586,FA 3:0 +1O,FA 3:0 +1O,fatty_acid_RCO,frag
89.02332048,FA 3:0 +2O,FA 3:0 +2O,fatty_acid_RCO,frag
105.0182351,FA 3:0 +3O,FA 3:0 +3O,fatty_acid_RCO,frag
55.01784116,FA 3:1,FA 3:1,fatty_acid_RCO,frag
71.01275578,FA 3:1 +1O,FA 3:1 +1O,fatty_acid_RCO,frag
87.00767038,FA 3:1 +2O,FA 3:1 +2O,fatty_acid_RCO,frag
103.002585,FA 3:1 +3O,FA 3:1 +3O,fatty_acid_RCO,frag
71.04914132,FA 4:0,FA 4:0,fatty_acid_RCO,frag
87.04405598,FA 4:0 +1O,FA 4:0 +1O,fatty_acid_RCO,frag
103.0389706,FA 4:0 +2O,FA 4:0 +2O,fatty_acid_RCO,frag
119.0338852,FA 4:0 +3O,FA 4:0 +3O,fatty_acid_RCO,frag
69.03349124,FA 4:1,FA 4:1,fatty_acid_RCO,frag
85.02840588,FA 4:1 +1O,FA 4:1 +1O,fatty_acid_RCO,frag
101.0233205,FA 4:1 +2O,FA 4:1 +2O,fatty_acid_RCO,frag
117.0182351,FA 4:1 +3O,FA 4:1 +3O,fatty_acid_RCO,frag
85.06479138,FA 5:0,FA 5:0,fatty_acid_RCO,frag
101.059706,FA 5:0 +1O,FA 5:0 +1O,fatty_acid_RCO,frag
117.0546207,FA 5:0 +2O,FA 5:0 +2O,fatty_acid_RCO,frag
133.0495353,FA 5:0 +3O,FA 5:0 +3O,fatty_acid_RCO,frag
83.04914132,FA 5:1,FA 5:1,fatty_acid_RCO,frag
99.04405598,FA 5:1 +1O,FA 5:1 +1O,fatty_acid_RCO,frag
115.0389706,FA 5:1 +2O,FA 5:1 +2O,fatty_acid_RCO,frag
131.0338852,FA 5:1 +3O,FA 5:1 +3O,fatty_acid_RCO,frag
99.08044148,FA 6:0,FA 6:0,fatty_acid_RCO,frag
115.0753561,FA 6:0 +1O,FA 6:0 +1O,fatty_acid_RCO,frag
131.0702707,FA 6:0 +2O,FA 6:0 +2O,fatty_acid_RCO,frag
147.0651854,FA 6:0 +3O,FA 6:0 +3O,fatty_acid_RCO,frag
97.06479138,FA 6:1,FA 6:1,fatty_acid_RCO,frag
113.059706,FA 6:1 +1O,FA 6:1 +1O,fatty_acid_RCO,frag
129.0546207,FA 6:1 +2O,FA 6:1 +2O,fatty_acid_RCO,frag
145.0495353,FA 6:1 +3O,FA 6:1 +3O,fatty_acid_RCO,frag
113.0960916,FA 7:0,FA 7:0,fatty_acid_RCO,frag
129.0910062,FA 7:0 +1O,FA 7:0 +1O,fatty_acid_RCO,frag
145.0859208,FA 7:0 +2O,FA 7:0 +2O,fatty_acid_RCO,frag
161.0808354,FA 7:0 +3O,FA 7:0 +3O,fatty_acid_RCO,frag
