mtc,id,type1,type2,diagnostic
176.1,MeNG,frag,hg,MeNG
204.1,NAcG,frag,hg,NAcG
204.1,NAcG,frag,hg,NAcG_G
204.1,NAcG,frag,hg,MG_NAcG_G
204.1,NAcG,frag,hg,DG_NAcG_G
204.1,NAcG,frag,hg,TG_NAcG_G
204.1,NAcG,frag,hg,NAcG_P
261.1,hexose-phosphate,frag,hg,MG_P
162.1,NG,frag,hg,NG
134.1,APT-PO3-H2O,frag,hg,APT
152.1,APT-PO3,frag,hg,APT
214.1,APT-H2O,frag,hg,APT
148.1,MeAPT-PO3-H2O,frag,hg,MeAPT
166.1,MeAPT-PO3,frag,hg,MeAPT
228.1,MeAPT-H2O,frag,hg,MeAPT
162.1,DMeAPT-PO3-H2O,frag,hg,DMeAPT
180.1,DMEAPT-PO3,frag,hg,DMeAPT
260.1,DMeAPT-H2O,frag,hg,DMeAPT
176.1,TMeAPT-PO3-H2O,frag,hg,TMeAPT
194.1,TMeAPT-PO3,frag,hg,TMeAPT
274.1,TMeAPT-H2O,frag,hg,TMeAPT
190.1,QMeAPT-PO3-H2O,frag,hg,QMeAPT
208.1,QMeAPT-PO3,frag,hg,QMeAPT
288.1,QMeAPT-H2O,frag,hg,QMeAPT
301,lysylphosphatidylglycerol,frag,hg,LPG
184.1,PC,frag,hg,PC
236.2,DGTSA,frag,hg,DGTSA
245.2,DGTSA-d9,frag,hg,DGTSA
132.1,DGCC,frag,hg,DGCC
104.1,PC,frag,hg,PC
115.1,ornithine,frag,hg,OL
131.1,OH_ornithine,frag,hg,OL
114.1,OH_ornithine,frag,hg,OL
116.1,methylated_ornithine,frag,hg,OL
147,lysine_or_glutamine,frag,hg,LL
130,lysine_or_glutamine,frag,hg,LL
129,lysine_or_glutamine,frag,hg,LL
128,OH_lysine,frag,hg,LL
145,OH_lysine,frag,hg,LL
100,OH_lysine,frag,hg,LL
163,serine_glycine,frag,hg,FL
106,serine,frag,hg,FL
60,glycine-O,frag,hg,FL
76,glycine,frag,hg,CYL
206,Boyer_unknown_223,frag,hg,Boyer
