mass,id,diagnostic,type2,type1
60.02058578,FA 2:0,FA 2:0,fatty_acid,nl
76.0155004,FA 2:0 +1O,FA 2:0 +1O,fatty_acid,nl
92.01041502,FA 2:0 +2O,FA 2:0 +2O,fatty_acid,nl
108.0053296,FA 2:0 +3O,FA 2:0 +3O,fatty_acid,nl
58.0049357,FA 2:1,FA 2:1,fatty_acid,nl
73.99985032,FA 2:1 +1O,FA 2:1 +1O,fatty_acid,nl
89.99476494,FA 2:1 +2O,FA 2:1 +2O,fatty_acid,nl
105.9896796,FA 2:1 +3O,FA 2:1 +3O,fatty_acid,nl
74.03623586,FA 3:0,FA 3:0,fatty_acid,nl
90.03115048,FA 3:0 +1O,FA 3:0 +1O,fatty_acid,nl
106.0260651,FA 3:0 +2O,FA 3:0 +2O,fatty_acid,nl
122.0209797,FA 3:0 +3O,FA 3:0 +3O,fatty_acid,nl
72.02058578,FA 3:1,FA 3:1,fatty_acid,nl
88.0155004,FA 3:1 +1O,FA 3:1 +1O,fatty_acid,nl
104.010415,FA 3:1 +2O,FA 3:1 +2O,fatty_acid,nl
120.0053296,FA 3:1 +3O,FA 3:1 +3O,fatty_acid,nl
88.05188594,FA 4:0,FA 4:0,fatty_acid,nl
104.0468006,FA 4:0 +1O,FA 4:0 +1O,fatty_acid,nl
120.0417152,FA 4:0 +2O,FA 4:0 +2O,fatty_acid,nl
136.0366298,FA 4:0 +3O,FA 4:0 +3O,fatty_acid,nl
86.03623586,FA 4:1,FA 4:1,fatty_acid,nl
102.0311505,FA 4:1 +1O,FA 4:1 +1O,fatty_acid,nl
118.0260651,FA 4:1 +2O,FA 4:1 +2O,fatty_acid,nl
134.0209797,FA 4:1 +3O,FA 4:1 +3O,fatty_acid,nl
102.067536,FA 5:0,FA 5:0,fatty_acid,nl
118.0624506,FA 5:0 +1O,FA 5:0 +1O,fatty_acid,nl
134.0573653,FA 5:0 +2O,FA 5:0 +2O,fatty_acid,nl
150.0522799,FA 5:0 +3O,FA 5:0 +3O,fatty_acid,nl
100.0518859,FA 5:1,FA 5:1,fatty_acid,nl
116.0468006,FA 5:1 +1O,FA 5:1 +1O,fatty_acid,nl
